Rec_Unnamed: 0_level_0 Rk,Player,Rec_Unnamed: 2_level_0 Age,Rec_Unnamed: 3_level_0 Team,Rec_Unnamed: 4_level_0 Pos,Rec_Unnamed: 5_level_0 G,Rec_Unnamed: 6_level_0 GS,Rec_Receiving Tgt,Rec_Receiving Rec,Rec_Receiving Yds,Rec_Receiving Y/R,Rec_Receiving TD,Rec_Receiving 1D,Rec_Receiving Succ%,Rec_Receiving Lng,Rec_Receiving R/G,Rec_Receiving Y/G,Rec_Receiving Ctch%,Rec_Receiving Y/Tgt,Rec_Unnamed: 19_level_0 Fmb,Rec_Unnamed: 20_level_0 Awards,Year
111.0,James Cook,26.0,BUF,RB,13.0,13.0,31.0,29.0,267.0,9.2,1.0,9.0,58.1,51.0,2.2,20.5,93.5,8.6,6.0,,2025
112.0,Greg Dortch,27.0,ARI,WR,12.0,3.0,33.0,29.0,206.0,7.1,3.0,10.0,42.4,39.0,2.4,17.2,87.9,6.2,1.0,,2025
113.0,Rico Dowdle,27.0,CAR,RB,13.0,7.0,36.0,29.0,254.0,8.8,1.0,13.0,52.8,36.0,2.2,19.5,80.6,7.1,1.0,,2025
114.0,Ryan Flournoy,26.0,DAL,WR,13.0,2.0,42.0,29.0,349.0,12.0,3.0,21.0,59.5,46.0,2.2,26.8,69.0,8.3,0.0,,2025
115.0,Pat Freiermuth,27.0,PIT,TE,13.0,5.0,35.0,28.0,307.0,11.0,4.0,12.0,54.3,68.0,2.2,23.6,80.0,8.8,0.0,,2025
116.0,Travis Hunter,22.0,JAX,WR,7.0,4.0,45.0,28.0,298.0,10.6,1.0,12.0,40.0,44.0,4.0,42.6,62.2,6.6,1.0,,2025
117.0,Xavier Legette,24.0,CAR,WR,11.0,11.0,53.0,28.0,287.0,10.3,3.0,14.0,35.8,36.0,2.5,26.1,52.8,5.4,1.0,,2025
118.0,Dylan Sampson,21.0,CLE,RB,13.0,1.0,34.0,28.0,259.0,9.3,2.0,8.0,61.8,66.0,2.2,19.9,82.4,7.6,1.0,,2025
119.0,D'Andre Swift,26.0,CHI,RB,12.0,12.0,40.0,28.0,256.0,9.1,1.0,10.0,35.0,55.0,2.3,21.3,70.0,6.4,2.0,,2025
120.0,Calvin Austin III,26.0,PIT,WR,11.0,7.0,46.0,27.0,309.0,11.4,2.0,11.0,43.5,31.0,2.5,28.1,58.7,6.7,0.0,,2025
121.0,Demario Douglas,25.0,NWE,WR,13.0,0.0,39.0,27.0,402.0,14.9,3.0,16.0,59.0,58.0,2.1,30.9,69.2,10.3,0.0,,2025
122.0,Tony Pollard,28.0,TEN,RB,13.0,13.0,34.0,27.0,171.0,6.3,0.0,8.0,41.2,29.0,2.1,13.2,79.4,5.0,3.0,,2025
123.0,JuJu Smith-Schuster,29.0,KAN,WR,13.0,8.0,35.0,27.0,304.0,11.3,1.0,17.0,65.7,30.0,2.1,23.4,77.1,8.7,0.0,,2025
124.0,Travis Etienne,26.0,JAX,RB,13.0,13.0,39.0,26.0,181.0,7.0,2.0,8.0,46.2,16.0,2.0,13.9,66.7,4.6,1.0,,2025
125.0,Jerome Ford,26.0,CLE,RB,13.0,0.0,32.0,26.0,103.0,4.0,0.0,4.0,34.4,17.0,2.0,7.9,81.3,3.2,0.0,,2025
126.0,Xavier Hutchinson,25.0,HOU,WR,13.0,4.0,41.0,26.0,303.0,11.7,3.0,14.0,53.7,30.0,2.0,23.3,63.4,7.4,0.0,,2025
127.0,Andrei Iosivas,26.0,CIN,WR,13.0,7.0,47.0,26.0,363.0,14.0,2.0,18.0,42.6,37.0,2.0,27.9,55.3,7.7,0.0,,2025
128.0,Colby Parkinson,26.0,LAR,TE,11.0,6.0,31.0,26.0,223.0,8.6,4.0,16.0,71.0,23.0,2.4,20.3,83.9,7.2,1.0,,2025
129.0,Darius Slayton,28.0,NYG,WR,10.0,9.0,39.0,26.0,407.0,15.7,1.0,14.0,59.0,52.0,2.6,40.7,66.7,10.4,1.0,,2025
130.0,Jake Tonges,26.0,SFO,TE,13.0,1.0,35.0,26.0,226.0,8.7,4.0,14.0,57.1,23.0,2.0,17.4,74.3,6.5,0.0,,2025
131.0,Dontayvion Wicks,24.0,GNB,WR,11.0,7.0,41.0,26.0,307.0,11.8,2.0,20.0,63.4,30.0,2.4,27.9,63.4,7.5,0.0,,2025
132.0,Kyren Williams,25.0,LAR,RB,13.0,13.0,35.0,26.0,197.0,7.6,3.0,8.0,45.7,30.0,2.0,15.2,74.3,5.6,2.0,,2025
133.0,Tyler Lockett,33.0,2TM,WR,13.0,1.0,41.0,26.0,261.0,10.0,0.0,12.0,48.8,33.0,2.0,20.1,63.4,6.4,0.0,,2025
133.0,Tyler Lockett,33.0,TEN,WR,7.0,1.0,21.0,10.0,70.0,7.0,0.0,3.0,33.3,16.0,1.4,10.0,47.6,3.3,0.0,,2025
133.0,Tyler Lockett,33.0,LVR,WR,6.0,0.0,20.0,16.0,191.0,11.9,0.0,9.0,65.0,33.0,2.7,31.8,80.0,9.6,0.0,,2025
134.0,Dawson Knox,29.0,BUF,TE,13.0,9.0,36.0,25.0,316.0,12.6,1.0,15.0,61.1,32.0,1.9,24.3,69.4,8.8,0.0,,2025
135.0,Marvin Mims,23.0,DEN,WR,11.0,2.0,35.0,25.0,247.0,9.9,1.0,10.0,42.9,31.0,2.3,22.5,71.4,7.1,2.0,,2025
